,name,url,state,district,party,chamber,term-start,term-end
25,"Axne, Cynthia",https://www.congress.gov/member/cynthia-axne/A000378,Iowa,3,Democratic,House,2019,
26,"Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,New Hampshire,N/A,Republican,Senate,2011,2017
27,"Babin, Brian",https://www.congress.gov/member/brian-babin/B001291,Texas,36,Republican,House,2015,
28,"Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,California,43,Democratic,House,1999,2013
29,"Bachmann, Michele",https://www.congress.gov/member/michele-bachmann/B001256,Minnesota,6,Republican,House,2007,2015
30,"Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,6,Republican,House,1993,2015
31,"Bacon, Don",https://www.congress.gov/member/don-bacon/B001298,Nebraska,2,Republican,House,2017,
32,"Baird, Brian",https://www.congress.gov/member/brian-baird/B001229,Washington,3,Democratic,House,1999,2011
33,"Baird, James R.",https://www.congress.gov/member/james-baird/B001307,Indiana,4,Republican,House,2019,
34,"Balderson, Troy",https://www.congress.gov/member/troy-balderson/B001306,Ohio,12,Republican,House,2018,
35,"Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,N/A,Democratic,Senate,2013,
36,"Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,Missing,Democratic,House,1999,2013
37,"Banks, Jim",https://www.congress.gov/member/jim-banks/B001299,Indiana,3,Republican,House,2017,
38,"Barber, Ron",https://www.congress.gov/member/ron-barber/B001279,Arizona,2,Democratic,House,2012,2015
39,"Barletta, Lou",https://www.congress.gov/member/lou-barletta/B001269,Pennsylvania,11,Republican,House,2011,2019
40,"Barr, Andy",https://www.congress.gov/member/andy-barr/B001282,Kentucky,6,Republican,House,2013,
41,"Barragan, Nanette Diaz",https://www.congress.gov/member/nanette-barragan/B001300,California,44,Democratic,House,2017,
42,"Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Wyoming,N/A,Republican,Senate,2007,
43,"Barrett, J. Gresham",https://www.congress.gov/member/j-barrett/B001239,South Carolina,3,Republican,House,2003,2011
44,"Barrow, John",https://www.congress.gov/member/john-barrow/B001252,Georgia,12,Democratic,House,2005,2015
45,"Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Maryland,6,Republican,House,1993,2013
46,"Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,6,Republican,House,1985,2019
47,"Bass, Charles F.",https://www.congress.gov/member/charles-bass/B000220,New Hampshire,2,Republican,House,1995,2007
48,"Bass, Charles F.",https://www.congress.gov/member/charles-bass/B000220,New Hampshire,2,Republican,House,2011,2013
49,"Bass, Karen",https://www.congress.gov/member/karen-bass/B001270,California,37,Democratic,House,2011,
50,"Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Montana,N/A,Democratic,Senate,1979,2014
51,"Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Montana,Missing,Democratic,House,1975,1979
52,"Bayh, Evan",https://www.congress.gov/member/evan-bayh/B001233,Indiana,N/A,Democratic,Senate,1999,2011
53,"Bean, Melissa L.",https://www.congress.gov/member/melissa-bean/B001253,Illinois,8,Democratic,House,2005,2011
54,"Beatty, Joyce",https://www.congress.gov/member/joyce-beatty/B001281,Ohio,3,Democratic,House,2013,
55,"Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,California,34,Democratic,House,1993,2017
56,"Begich, Mark",https://www.congress.gov/member/mark-begich/B001265,Alaska,N/A,Democratic,Senate,2009,2015
57,"Benishek, Dan",https://www.congress.gov/member/dan-benishek/B001271,Michigan,1,Republican,House,2011,2017
58,"Bennet, Michael F.",https://www.congress.gov/member/michael-bennet/B001267,Colorado,N/A,Democratic,Senate,2009,
59,"Bennett, Robert F.",https://www.congress.gov/member/robert-bennett/B000382,Utah,N/A,Republican,Senate,1993,2011
60,"Bentivolio, Kerry L.",https://www.congress.gov/member/kerry-bentivolio/B001280,Michigan,11,Republican,House,2013,2015
61,"Bera, Ami",https://www.congress.gov/member/ami-bera/B001287,California,7,Democratic,House,2013,
62,"Berg, Rick",https://www.congress.gov/member/rick-berg/B001272,North Dakota,Missing,Republican,House,2011,2013
63,"Bergman, Jack",https://www.congress.gov/member/jack-bergman/B001301,Michigan,1,Republican,House,2017,
64,"Berkley, Shelley",https://www.congress.gov/member/shelley-berkley/B001231,Nevada,1,Democratic,House,1999,2013
65,"Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,California,28,Democratic,House,1983,2013
66,"Berry, Marion",https://www.congress.gov/member/marion-berry/B000420,Arkansas,1,Democratic,House,1997,2011
67,"Beyer, Donald S., Jr.",https://www.congress.gov/member/donald-beyer/B001292,Virginia,8,Democratic,House,2015,
68,"Biden, Joseph R., Jr.",https://www.congress.gov/member/joseph-biden/B000444,Delaware,N/A,Democratic,Senate,1973,2009
69,"Biggert, Judy",https://www.congress.gov/member/judy-biggert/B001232,Illinois,13,Republican,House,1999,2013
70,"Biggs, Andy",https://www.congress.gov/member/andy-biggs/B001302,Arizona,5,Republican,House,2017,
71,"Bilbray, Brian P.",https://www.congress.gov/member/brian-bilbray/B000461,California,50,Republican,House,1995,2001
72,"Bilbray, Brian P.",https://www.congress.gov/member/brian-bilbray/B000461,California,50,Republican,House,2005,2013
73,"Bilirakis, Gus M.",https://www.congress.gov/member/gus-bilirakis/B001257,Florida,12,Republican,House,2007,
74,"Bingaman, Jeff",https://www.congress.gov/member/jesse-bingaman/B000468,New Mexico,N/A,Democratic,Senate,1983,2013
75,"Bishop, Dan",https://www.congress.gov/member/dan-bishop/B001311,North Carolina,9,Republican,House,2019,
76,"Bishop, Mike",https://www.congress.gov/member/mike-bishop/B001293,Michigan,8,Republican,House,2015,2019
77,"Bishop, Rob",https://www.congress.gov/member/rob-bishop/B001250,Utah,1,Republican,House,2003,
78,"Bishop, Sanford D., Jr.",https://www.congress.gov/member/sanford-bishop/B000490,Georgia,2,Democratic,House,1993,
79,"Bishop, Timothy H.",https://www.congress.gov/member/timothy-bishop/B001242,New York,1,Democratic,House,2003,2015
80,"Black, Diane",https://www.congress.gov/member/diane-black/B001273,Tennessee,6,Republican,House,2011,2019
81,"Blackburn, Marsha",https://www.congress.gov/member/marsha-blackburn/B001243,Tennessee,N/A,Republican,Senate,2019,
82,"Blackburn, Marsha",https://www.congress.gov/member/marsha-blackburn/B001243,Tennessee,Missing,Republican,House,2003,2019
83,"Blum, Rod",https://www.congress.gov/member/rod-blum/B001294,Iowa,1,Republican,House,2015,2019
84,"Blumenauer, Earl",https://www.congress.gov/member/earl-blumenauer/B000574,Oregon,3,Democratic,House,1995,
85,"Blumenthal, Richard",https://www.congress.gov/member/richard-blumenthal/B001277,Connecticut,N/A,Democratic,Senate,2011,
86,"Blunt Rochester, Lisa",https://www.congress.gov/member/lisa-blunt-rochester/B001303,Delaware,Missing,Democratic,House,2017,
87,"Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,N/A,Republican,Senate,2011,
88,"Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,Missing,Republican,House,1997,2011
89,"Boccieri, John A.",https://www.congress.gov/member/john-boccieri/B001263,Ohio,16,Democratic,House,2009,2011
90,"Boehner, John A.",https://www.congress.gov/member/john-boehner/B000589,Ohio,8,Republican,House,1991,2015
91,"Bonamici, Suzanne",https://www.congress.gov/member/suzanne-bonamici/B001278,Oregon,1,Democratic,House,2012,
92,"Bond, Christopher S.",https://www.congress.gov/member/christopher-bond/B000611,Missouri,N/A,Republican,Senate,1987,2011
93,"Bonner, Jo",https://www.congress.gov/member/jo-bonner/B001244,Alabama,1,Republican,House,2003,2013
94,"Bono Mack, Mary",https://www.congress.gov/member/mary-bono-mack/B001228,California,45,Republican,House,1997,2013
95,"Booker, Cory A.",https://www.congress.gov/member/cory-booker/B001288,New Jersey,N/A,Democratic,Senate,2013,
96,"Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,N/A,Republican,Senate,2011,
97,"Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,Missing,Republican,House,2001,2011
98,"Bordallo, Madeleine Z.",https://www.congress.gov/member/madeleine-bordallo/B001245,Guam,Missing,Democratic,House,2003,2019
99,"Boren, Dan",https://www.congress.gov/member/dan-boren/B001254,Oklahoma,2,Democratic,House,2005,2013
100,"Bost, Mike",https://www.congress.gov/member/mike-bost/B001295,Illinois,12,Republican,House,2015,
101,"Boswell, Leonard L.",https://www.congress.gov/member/leonard-boswell/B000652,Iowa,3,Democratic,House,1997,2013
102,"Boucher, Rick",https://www.congress.gov/member/rick-boucher/B000657,Virginia,9,Democratic,House,1983,2011
103,"Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Louisiana,3,Republican,House,2005,2017
104,"Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,N/A,Democratic,Senate,1993,2017
105,"Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,Missing,Democratic,House,1983,1993
106,"Boyd, Allen",https://www.congress.gov/member/allen-boyd/B000716,Florida,2,Democratic,House,1997,2011
107,"Boyle, Brendan F.",https://www.congress.gov/member/brendan-boyle/B001296,Pennsylvania,2,Democratic,House,2015,
108,"Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Texas,8,Republican,House,1997,
109,"Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Pennsylvania,1,Democratic,House,1997,2019
110,"Braley, Bruce L.",https://www.congress.gov/member/bruce-braley/B001259,Iowa,1,Democratic,House,2007,2015
111,"Brat, Dave",https://www.congress.gov/member/dave-brat/B001290,Virginia,7,Republican,House,2014,2019
112,"Braun, Mike",https://www.congress.gov/member/mike-braun/B001310,Indiana,N/A,Republican,Senate,2019,
113,"Bridenstine, Jim",https://www.congress.gov/member/jim-bridenstine/B001283,Oklahoma,1,Republican,House,2013,2018
114,"Bright, Bobby",https://www.congress.gov/member/bobby-bright/B001264,Alabama,2,Democratic,House,2009,2011
115,"Brindisi, Anthony",https://www.congress.gov/member/anthony-brindisi/B001308,New York,22,Democratic,House,2019,
116,"Brooks, Mo",https://www.congress.gov/member/mo-brooks/B001274,Alabama,5,Republican,House,2011,
117,"Brooks, Susan W.",https://www.congress.gov/member/susan-brooks/B001284,Indiana,5,Republican,House,2013,
118,"Broun, Paul C.",https://www.congress.gov/member/paul-broun/B001262,Georgia,10,Republican,House,2007,2015
119,"Brown, Anthony G.",https://www.congress.gov/member/anthony-brown/B001304,Maryland,4,Democratic,House,2017,
120,"Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,5,Democratic,House,1993,2017
121,"Brown, Henry E., Jr.",https://www.congress.gov/member/henry-brown/B001235,South Carolina,1,Republican,House,2001,2011
122,"Brown, Scott P.",https://www.congress.gov/member/scott-brown/B001268,Massachusetts,N/A,Republican,Senate,2010,2013
123,"Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,N/A,Democratic,Senate,2007,
124,"Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,Missing,Democratic,House,1993,2007
125,"Brown-Waite, Ginny",https://www.congress.gov/member/ginny-brown-waite/B001247,Florida,5,Republican,House,2003,2011
126,"Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Kansas,N/A,Republican,Senate,1997,2011
127,"Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Kansas,Missing,Republican,House,1995,1996
128,"Brownley, Julia",https://www.congress.gov/member/julia-brownley/B001285,California,26,Democratic,House,2013,
129,"Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Florida,16,Republican,House,2007,
130,"Buck, Ken",https://www.congress.gov/member/ken-buck/B001297,Colorado,4,Republican,House,2015,
131,"Bucshon, Larry",https://www.congress.gov/member/larry-bucshon/B001275,Indiana,8,Republican,House,2011,
132,"Budd, Ted",https://www.congress.gov/member/ted-budd/B001305,North Carolina,13,Republican,House,2017,
133,"Buerkle, Ann Marie",https://www.congress.gov/member/ann-buerkle/B001276,New York,25,Republican,House,2011,2013
134,"Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Kentucky,N/A,Republican,Senate,1999,2011
135,"Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Kentucky,Missing,Republican,House,1987,1999
136,"Burchett, Tim",https://www.congress.gov/member/tim-burchett/B001309,Tennessee,2,Republican,House,2019,
137,"Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Texas,26,Republican,House,2003,
138,"Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,North Carolina,N/A,Republican,Senate,2005,
139,"Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,North Carolina,Missing,Republican,House,1995,2005
140,"Burris, Roland",https://www.congress.gov/member/roland-burris/B001266,Illinois,N/A,Democratic,Senate,2009,2010
141,"Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Indiana,5,Republican,House,1983,2013
142,"Bustos, Cheri",https://www.congress.gov/member/cheri-bustos/B001286,Illinois,17,Democratic,House,2013,
143,"Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,North Carolina,1,Democratic,House,2004,
144,"Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Indiana,4,Republican,House,1993,2011
145,"Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,West Virginia,N/A,Democratic,Senate,1959,2010
146,"Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,West Virginia,Missing,Democratic,House,1953,1959
147,"Byrne, Bradley",https://www.congress.gov/member/bradley-byrne/B001289,Alabama,1,Republican,House,2014,
148,"Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,42,Republican,House,1993,
149,"Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Michigan,4,Republican,House,1991,2015
150,"Campbell, John",https://www.congress.gov/member/john-campbell/C001064,California,45,Republican,House,2005,2015
151,"Canseco, Francisco ""Quico""",https://www.congress.gov/member/francisco-canseco/C001082,Texas,23,Republican,House,2011,2013
152,"Cantor, Eric",https://www.congress.gov/member/eric-cantor/C001046,Virginia,7,Republican,House,2001,2014
153,"Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,N/A,Democratic,Senate,2001,
154,"Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,Missing,Democratic,House,1993,1995
155,"Cao, Anh ""Joseph""",https://www.congress.gov/member/anh-cao/C001079,Louisiana,2,Republican,House,2009,2011
156,"Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,West Virginia,N/A,Republican,Senate,2015,
157,"Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,West Virginia,Missing,Republican,House,2001,2015
158,"Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,California,24,Democratic,House,1997,2017
159,"Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Massachusetts,7,Democratic,House,1999,2019
160,"Carbajal, Salud O.",https://www.congress.gov/member/salud-carbajal/C001112,California,24,Democratic,House,2017,
161,"Cardenas, Tony",https://www.congress.gov/member/tony-cardenas/C001097,California,29,Democratic,House,2013,
162,"Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,N/A,Democratic,Senate,2007,
163,"Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,Missing,Democratic,House,1987,2007
164,"Cardoza, Dennis A.",https://www.congress.gov/member/dennis-cardoza/C001050,California,18,Democratic,House,2003,2012
165,"Carnahan, Russ",https://www.congress.gov/member/russ-carnahan/C001060,Missouri,3,Democratic,House,2005,2013
166,"Carney, Christopher P.",https://www.congress.gov/member/christopher-carney/C001065,Pennsylvania,10,Democratic,House,2007,2011
167,"Carney, John C., Jr.",https://www.congress.gov/member/john-carney/C001083,Delaware,Missing,Democratic,House,2011,2017
168,"Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,N/A,Democratic,Senate,2001,
169,"Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,Missing,Democratic,House,1983,1993
170,"Carson, Andre",https://www.congress.gov/member/andre-carson/C001072,Indiana,7,Democratic,House,2008,
171,"Carter, Earl L. ""Buddy""",https://www.congress.gov/member/earl-carter/C001103,Georgia,1,Republican,House,2015,
172,"Carter, John R.",https://www.congress.gov/member/john-carter/C001051,Texas,31,Republican,House,2003,
173,"Cartwright, Matt",https://www.congress.gov/member/matt-cartwright/C001090,Pennsylvania,8,Democratic,House,2013,
174,"Case, Ed",https://www.congress.gov/member/ed-case/C001055,Hawaii,1,Democratic,House,2002,2007
175,"Case, Ed",https://www.congress.gov/member/ed-case/C001055,Hawaii,1,Democratic,House,2019,
176,"Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Pennsylvania,N/A,Democratic,Senate,2007,
177,"Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Louisiana,N/A,Republican,Senate,2015,
178,"Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Louisiana,Missing,Republican,House,2009,2015
179,"Casten, Sean",https://www.congress.gov/member/sean-casten/C001117,Illinois,6,Democratic,House,2019,
180,"Castle, Michael N.",https://www.congress.gov/member/michael-castle/C000243,Delaware,Missing,Republican,House,1993,2011
181,"Castor, Kathy",https://www.congress.gov/member/kathy-castor/C001066,Florida,14,Democratic,House,2007,
182,"Castro, Joaquin",https://www.congress.gov/member/joaquin-castro/C001091,Texas,20,Democratic,House,2013,
183,"Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Ohio,1,Republican,House,1995,2009
184,"Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Ohio,1,Republican,House,2011,
185,"Chaffetz, Jason",https://www.congress.gov/member/jason-chaffetz/C001076,Utah,3,Republican,House,2009,2017
186,"Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Georgia,N/A,Republican,Senate,2003,2015
187,"Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Georgia,Missing,Republican,House,1995,2003
188,"Chandler, Ben",https://www.congress.gov/member/ben-chandler/C001058,Kentucky,6,Democratic,House,2004,2013
189,"Cheney, Liz",https://www.congress.gov/member/liz-cheney/C001109,Wyoming,Missing,Republican,House,2017,
190,"Chiesa, Jeff",https://www.congress.gov/member/jeffrey-chiesa/C001100,New Jersey,N/A,Republican,Senate,2013,2013
191,"Childers, Travis",https://www.congress.gov/member/travis-childers/C001074,Mississippi,1,Democratic,House,2008,2011
192,"Christensen, Donna M.",https://www.congress.gov/member/donna-christensen/C000380,Virgin Islands,Missing,Democratic,House,1997,2015
193,"Chu, Judy",https://www.congress.gov/member/judy-chu/C001080,California,27,Democratic,House,2009,
194,"Cicilline, David N.",https://www.congress.gov/member/david-cicilline/C001084,Rhode Island,1,Democratic,House,2011,
195,"Cisneros, Gilbert Ray, Jr.",https://www.congress.gov/member/gilbert-cisneros/C001123,California,39,Democratic,House,2019,
196,"Clark, Katherine M.",https://www.congress.gov/member/katherine-clark/C001101,Massachusetts,5,Democratic,House,2013,
197,"Clarke, Hansen",https://www.congress.gov/member/hansen-clarke/C001085,Michigan,13,Democratic,House,2011,2013
198,"Clarke, Yvette D.",https://www.congress.gov/member/yvette-clarke/C001067,New York,9,Democratic,House,2007,
199,"Clawson, Curt",https://www.congress.gov/member/curt-clawson/C001102,Florida,19,Republican,House,2014,2017
200,"Clay, Wm. Lacy",https://www.congress.gov/member/wm-clay/C001049,Missouri,1,Democratic,House,2001,
201,"Cleaver, Emanuel",https://www.congress.gov/member/emanuel-cleaver/C001061,Missouri,5,Democratic,House,2005,
202,"Cline, Ben",https://www.congress.gov/member/ben-cline/C001118,Virginia,6,Republican,House,2019,
203,"Clinton, Hillary Rodham",https://www.congress.gov/member/hillary-clinton/C001041,New York,N/A,Democratic,Senate,2001,2009
204,"Cloud, Michael",https://www.congress.gov/member/michael-cloud/C001115,Texas,27,Republican,House,2018,
205,"Clyburn, James E.",https://www.congress.gov/member/james-clyburn/C000537,South Carolina,6,Democratic,House,1993,
206,"Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,N/A,Republican,Senate,1989,1999
207,"Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,N/A,Republican,Senate,2011,2017
208,"Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,Missing,Republican,House,1981,1989
209,"Coble, Howard",https://www.congress.gov/member/howard-coble/C000556,North Carolina,6,Republican,House,1985,2015
210,"Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Oklahoma,N/A,Republican,Senate,2005,2015
211,"Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Oklahoma,Missing,Republican,House,1995,2001
212,"Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,N/A,Republican,Senate,1979,2018
213,"Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,Missing,Republican,House,1973,1979
214,"Coffman, Mike",https://www.congress.gov/member/mike-coffman/C001077,Colorado,6,Republican,House,2009,2019
215,"Cohen, Steve",https://www.congress.gov/member/steve-cohen/C001068,Tennessee,9,Democratic,House,2007,
216,"Cole, Tom",https://www.congress.gov/member/tom-cole/C001053,Oklahoma,4,Republican,House,2003,
217,"Collins, Chris",https://www.congress.gov/member/chris-collins/C001092,New York,27,Republican,House,2013,2019
218,"Collins, Doug",https://www.congress.gov/member/doug-collins/C001093,Georgia,9,Republican,House,2013,
219,"Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Maine,N/A,Republican,Senate,1997,
220,"Comer, James",https://www.congress.gov/member/james-comer/C001108,Kentucky,1,Republican,House,2016,
221,"Comstock, Barbara",https://www.congress.gov/member/barbara-comstock/C001105,Virginia,10,Republican,House,2015,2019
222,"Conaway, K. Michael",https://www.congress.gov/member/k-conaway/C001062,Texas,11,Republican,House,2005,
223,"Connolly, Gerald E.",https://www.congress.gov/member/gerald-connolly/C001078,Virginia,11,Democratic,House,2009,
224,"Conrad, Kent",https://www.congress.gov/member/kent-conrad/C000705,North Dakota,N/A,Democratic,Senate,1987,2013
225,"Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Michigan,13,Democratic,House,1965,2017
226,"Cook, Paul",https://www.congress.gov/member/paul-cook/C001094,California,8,Republican,House,2013,
227,"Coons, Christopher A.",https://www.congress.gov/member/christopher-coons/C001088,Delaware,N/A,Democratic,Senate,2010,
228,"Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Tennessee,5,Democratic,House,1983,1995
229,"Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Tennessee,5,Democratic,House,2003,
230,"Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Tennessee,N/A,Republican,Senate,2007,2019
231,"Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Texas,N/A,Republican,Senate,2002,
232,"Correa, J. Luis",https://www.congress.gov/member/j-correa/C001110,California,46,Democratic,House,2017,
233,"Cortez Masto, Catherine",https://www.congress.gov/member/catherine-cortez-masto/C001113,Nevada,N/A,Democratic,Senate,2017,
234,"Costa, Jim",https://www.congress.gov/member/jim-costa/C001059,California,16,Democratic,House,2005,
235,"Costello, Jerry F.",https://www.congress.gov/member/jerry-costello/C000794,Illinois,12,Democratic,House,1987,2013
236,"Costello, Ryan A.",https://www.congress.gov/member/ryan-costello/C001106,Pennsylvania,6,Republican,House,2015,2019
237,"Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Arkansas,N/A,Republican,Senate,2015,
238,"Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Arkansas,Missing,Republican,House,2013,2015
239,"Courtney, Joe",https://www.congress.gov/member/joe-courtney/C001069,Connecticut,2,Democratic,House,2007,
240,"Cowan, William M.",https://www.congress.gov/member/william-mo-cowan/C001099,Massachusetts,N/A,Democratic,Senate,2013,2013
241,"Cox, TJ",https://www.congress.gov/member/tj-cox/C001124,California,21,Democratic,House,2019,
242,"Craig, Angie",https://www.congress.gov/member/angie-craig/C001119,Minnesota,2,Democratic,House,2019,
243,"Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,North Dakota,N/A,Republican,Senate,2019,
244,"Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,North Dakota,Missing,Republican,House,2013,2019
245,"Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,N/A,Republican,Senate,1999,
246,"Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,Missing,Republican,House,1993,1999
247,"Cravaack, Chip",https://www.congress.gov/member/chip-cravaack/C001086,Minnesota,8,Republican,House,2011,2013
248,"Crawford, Eric A. ""Rick""",https://www.congress.gov/member/eric-crawford/C001087,Arkansas,1,Republican,House,2011,
