name,url,party,state,district,chamber,start,end
"Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Democratic,Tennessee,5,House,2003,inf
"Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Democratic,Tennessee,4,House,1983,1995
"Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Republican,Tennessee,N/A,Senate,2007,2019
"Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Republican,Texas,N/A,Senate,2002,inf
"Correa, J. Luis",https://www.congress.gov/member/j-correa/C001110,Democratic,California,46,House,2017,inf
"Cortez Masto, Catherine",https://www.congress.gov/member/catherine-cortez-masto/C001113,Democratic,Nevada,N/A,Senate,2017,inf
"Costa, Jim",https://www.congress.gov/member/jim-costa/C001059,Democratic,California,16,House,2013,inf
"Costa, Jim",https://www.congress.gov/member/jim-costa/C001059,Democratic,California,20,House,2005,2013
"Costello, Jerry F.",https://www.congress.gov/member/jerry-costello/C000794,Democratic,Illinois,12,House,1993,2013
"Costello, Jerry F.",https://www.congress.gov/member/jerry-costello/C000794,Democratic,Illinois,21,House,1987,1993
"Costello, Ryan A.",https://www.congress.gov/member/ryan-costello/C001106,Republican,Pennsylvania,6,House,2015,2019
"Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Republican,Arkansas,0,Senate,2015,inf
"Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Republican,Arkansas,4,House,2013,2015
"Courtney, Joe",https://www.congress.gov/member/joe-courtney/C001069,Democratic,Connecticut,2,House,2007,inf
"Cowan, William M.",https://www.congress.gov/member/william-mo-cowan/C001099,Democratic,Massachusetts,N/A,Senate,2013,2013
"Cox, TJ",https://www.congress.gov/member/tj-cox/C001124,Democratic,California,21,House,2019,inf
"Craig, Angie",https://www.congress.gov/member/angie-craig/C001119,Democratic,Minnesota,2,House,2019,inf
"Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,Republican,North Dakota,0,Senate,2019,inf
"Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,Republican,North Dakota,At Large,House,2013,2019
"Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Republican,Idaho,0,Senate,1999,inf
"Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Republican,Idaho,2,House,1993,1999
"Cravaack, Chip",https://www.congress.gov/member/chip-cravaack/C001086,Republican,Minnesota,8,House,2011,2013
"Crawford, Eric A. ""Rick""",https://www.congress.gov/member/eric-crawford/C001087,Republican,Arkansas,1,House,2011,inf
"Crenshaw, Ander",https://www.congress.gov/member/ander-crenshaw/C001045,Republican,Florida,4,House,2001,2017
"Crenshaw, Dan",https://www.congress.gov/member/dan-crenshaw/C001120,Republican,Texas,2,House,2019,inf
"Crist, Charlie",https://www.congress.gov/member/charlie-crist/C001111,Democratic,Florida,13,House,2017,inf
"Critz, Mark S.",https://www.congress.gov/member/mark-critz/C001081,Democratic,Pennsylvania,12,House,2010,2013
"Crow, Jason",https://www.congress.gov/member/jason-crow/C001121,Democratic,Colorado,6,House,2019,inf
"Crowley, Joseph",https://www.congress.gov/member/joseph-crowley/C001038,Democratic,New York,14,House,2013,2019
"Crowley, Joseph",https://www.congress.gov/member/joseph-crowley/C001038,Democratic,New York,7,House,1999,2013
"Cruz, Ted",https://www.congress.gov/member/ted-cruz/C001098,Republican,Texas,N/A,Senate,2013,inf
"Cuellar, Henry",https://www.congress.gov/member/henry-cuellar/C001063,Democratic,Texas,28,House,2005,inf
"Culberson, John Abney",https://www.congress.gov/member/john-culberson/C001048,Republican,Texas,7,House,2001,2019
"Cummings, Elijah E.",https://www.congress.gov/member/elijah-cummings/C000984,Democratic,Maryland,7,House,1995,2019
"Cunningham, Joe",https://www.congress.gov/member/joe-cunningham/C001122,Democratic,South Carolina,1,House,2019,inf
"Curbelo, Carlos",https://www.congress.gov/member/carlos-curbelo/C001107,Republican,Florida,26,House,2015,2019
"Curson, David Alan",https://www.congress.gov/member/david-curson/C001089,Democratic,Michigan,11,House,2012,2013
"Curtis, John R.",https://www.congress.gov/member/john-curtis/C001114,Republican,Utah,3,House,2017,inf
"Dahlkemper, Kathleen A.",https://www.congress.gov/member/kathleen-dahlkemper/D000608,Democratic,Pennsylvania,3,House,2009,2011
"Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Republican,Montana,0,Senate,2015,inf
"Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Republican,Montana,At Large,House,2013,2015
"Davids, Sharice",https://www.congress.gov/member/sharice-davids/D000629,Democratic,Kansas,3,House,2019,inf
"Davidson, Warren",https://www.congress.gov/member/warren-davidson/D000626,Republican,Ohio,8,House,2016,inf
"Davis, Artur",https://www.congress.gov/member/artur-davis/D000602,Democratic,Alabama,7,House,2003,2011
"Davis, Danny K.",https://www.congress.gov/member/danny-davis/D000096,Democratic,Illinois,7,House,1997,inf
"Davis, Geoff",https://www.congress.gov/member/geoff-davis/D000603,Republican,Kentucky,4,House,2005,2012
"Davis, Lincoln",https://www.congress.gov/member/lincoln-davis/D000599,Democratic,Tennessee,4,House,2003,2011
"Davis, Rodney",https://www.congress.gov/member/rodney-davis/D000619,Republican,Illinois,13,House,2013,inf
"Davis, Susan A.",https://www.congress.gov/member/susan-davis/D000598,Democratic,California,53,House,2003,inf
"Davis, Susan A.",https://www.congress.gov/member/susan-davis/D000598,Democratic,California,49,House,2001,2003
"Deal, Nathan",https://www.congress.gov/member/nathan-deal/D000168,Republican,Georgia,9,House,2007,2010
"Dean, Madeleine",https://www.congress.gov/member/madeleine-dean/D000631,Democratic,Pennsylvania,4,House,2019,inf
"DeFazio, Peter A.",https://www.congress.gov/member/peter-defazio/D000191,Democratic,Oregon,4,House,1987,inf
"DeGette, Diana",https://www.congress.gov/member/diana-degette/D000197,Democratic,Colorado,1,House,1997,inf
"Delahunt, Bill",https://www.congress.gov/member/bill-delahunt/D000210,Democratic,Massachusetts,10,House,1997,2011
"Delaney, John K.",https://www.congress.gov/member/john-delaney/D000620,Democratic,Maryland,6,House,2013,2019
"DeLauro, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,Democratic,Connecticut,3,House,1991,inf
"DelBene, Suzan K.",https://www.congress.gov/member/suzan-delbene/D000617,Democratic,Washington,1,House,2012,inf
"Delgado, Antonio",https://www.congress.gov/member/antonio-delgado/D000630,Democratic,New York,19,House,2019,inf
"Demings, Val Butler",https://www.congress.gov/member/val-demings/D000627,Democratic,Florida,10,House,2017,inf
"DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,Republican,South Carolina,0,Senate,2005,2012
"DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,Republican,South Carolina,4,House,1999,2005
"Denham, Jeff",https://www.congress.gov/member/jeff-denham/D000612,Republican,California,10,House,2013,2019
"Denham, Jeff",https://www.congress.gov/member/jeff-denham/D000612,Republican,California,19,House,2011,2013
"Dent, Charles W.",https://www.congress.gov/member/charles-dent/D000604,Republican,Pennsylvania,15,House,2005,2018
"DeSantis, Ron",https://www.congress.gov/member/ron-desantis/D000621,Republican,Florida,6,House,2013,2018
"DeSaulnier, Mark",https://www.congress.gov/member/mark-desaulnier/D000623,Democratic,California,11,House,2015,inf
"DesJarlais, Scott",https://www.congress.gov/member/scott-desjarlais/D000616,Republican,Tennessee,4,House,2011,inf
"Deutch, Theodore E.",https://www.congress.gov/member/theodore-deutch/D000610,Democratic,Florida,22,House,2017,inf
"Deutch, Theodore E.",https://www.congress.gov/member/theodore-deutch/D000610,Democratic,Florida,21,House,2013,2017
"Deutch, Theodore E.",https://www.congress.gov/member/theodore-deutch/D000610,Democratic,Florida,19,House,2010,2013
"Diaz-Balart, Lincoln",https://www.congress.gov/member/lincoln-diaz-balart/D000299,Republican,Florida,21,House,1993,2011
"Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Republican,Florida,25,House,2013,inf
"Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Republican,Florida,21,House,2011,2013
"Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Republican,Florida,25,House,2003,2011
"Dicks, Norman D.",https://www.congress.gov/member/norman-dicks/D000327,Democratic,Washington,6,House,1977,2013
"Dingell, Debbie",https://www.congress.gov/member/debbie-dingell/D000624,Democratic,Michigan,12,House,2015,inf
"Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Democratic,Michigan,12,House,2013,2015
"Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Democratic,Michigan,15,House,2003,2013
"Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Democratic,Michigan,16,House,1965,2003
"Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Democratic,Michigan,15,House,1955,1965
"Djou, Charles K.",https://www.congress.gov/member/charles-djou/D000611,Republican,Hawaii,1,House,2010,2011
"Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Democratic,Connecticut,0,Senate,1981,2011
"Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Democratic,Connecticut,2,House,1975,1981
"Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Democratic,Texas,35,House,2013,inf
"Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Democratic,Texas,25,House,2005,2013
"Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Democratic,Texas,10,House,1995,2005
"Dold, Robert J.",https://www.congress.gov/member/robert-dold/D000613,Republican,Illinois,10,House,2015,2017
"Dold, Robert J.",https://www.congress.gov/member/robert-dold/D000613,Republican,Illinois,10,House,2011,2013
"Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Democratic,Indiana,0,Senate,2013,2019
"Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Democratic,Indiana,2,House,2007,2013
"Donovan, Daniel M., Jr.",https://www.congress.gov/member/daniel-donovan/D000625,Republican,New York,11,House,2015,2019
"Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,Democratic,North Dakota,0,Senate,1991,2011
"Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,Democratic,North Dakota,At Large,House,1981,1993
"Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Democratic,Pennsylvania,18,House,2019,inf
"Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Democratic,Pennsylvania,14,House,2003,2019
"Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Democratic,Pennsylvania,18,House,1995,2003
"Dreier, David",https://www.congress.gov/member/david-dreier/D000492,Republican,California,26,House,2003,2013
"Dreier, David",https://www.congress.gov/member/david-dreier/D000492,Republican,California,28,House,1993,2003
"Dreier, David",https://www.congress.gov/member/david-dreier/D000492,Republican,California,33,House,1983,1993
"Dreier, David",https://www.congress.gov/member/david-dreier/D000492,Republican,California,35,House,1981,1983
"Driehaus, Steve",https://www.congress.gov/member/steve-driehaus/D000609,Democratic,Ohio,1,House,2009,2011
"Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Democratic,Illinois,0,Senate,2017,inf
"Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Democratic,Illinois,8,House,2013,2017
"Duffy, Sean P.",https://www.congress.gov/member/sean-duffy/D000614,Republican,Wisconsin,7,House,2011,2019
"Duncan, Jeff",https://www.congress.gov/member/jeff-duncan/D000615,Republican,South Carolina,3,House,2011,inf
"Duncan, John J., Jr.",https://www.congress.gov/member/john-duncan/D000533,Republican,Tennessee,2,House,1987,2019
"Dunn, Neal P.",https://www.congress.gov/member/neal-dunn/D000628,Republican,Florida,2,House,2017,inf
"Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Democratic,Illinois,0,Senate,1997,inf
"Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Democratic,Illinois,20,House,1983,1997
"Edwards, Chet",https://www.congress.gov/member/chet-edwards/E000063,Democratic,Texas,17,House,2005,2011
"Edwards, Chet",https://www.congress.gov/member/chet-edwards/E000063,Democratic,Texas,11,House,1991,2005
"Edwards, Donna F.",https://www.congress.gov/member/donna-edwards/E000290,Democratic,Maryland,4,House,2008,2017
"Ehlers, Vernon J.",https://www.congress.gov/member/vernon-ehlers/E000092,Republican,Michigan,3,House,1993,2011
"Ellison, Keith",https://www.congress.gov/member/keith-ellison/E000288,Democratic,Minnesota,5,House,2007,2019
"Ellmers, Renee L.",https://www.congress.gov/member/renee-ellmers/E000291,Republican,North Carolina,2,House,2011,2017
"Ellsworth, Brad",https://www.congress.gov/member/brad-ellsworth/E000289,Democratic,Indiana,8,House,2007,2011
"Emerson, Jo Ann",https://www.congress.gov/member/jo-emerson/E000172,Republican,Missouri,8,House,1997,2013
"Emmer, Tom",https://www.congress.gov/member/tom-emmer/E000294,Republican,Minnesota,6,House,2015,inf
"Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,Democratic,New York,16,House,2013,inf
"Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,Democratic,New York,17,House,1993,2013
"Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,Democratic,New York,19,House,1989,1993
"Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Republican,Nevada,0,Senate,2001,2011
"Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Republican,Nevada,1,House,1995,1999
"Enyart, William L.",https://www.congress.gov/member/william-enyart/E000292,Democratic,Illinois,12,House,2013,2015
"Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Republican,Wyoming,N/A,Senate,1997,inf
"Ernst, Joni",https://www.congress.gov/member/joni-ernst/E000295,Republican,Iowa,N/A,Senate,2015,inf
"Escobar, Veronica",https://www.congress.gov/member/veronica-escobar/E000299,Democratic,Texas,16,House,2019,inf
"Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,Democratic,California,18,House,2013,inf
"Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,Democratic,California,14,House,1993,2013
"Espaillat, Adriano",https://www.congress.gov/member/adriano-espaillat/E000297,Democratic,New York,13,House,2017,inf
"Estes, Ron",https://www.congress.gov/member/ron-estes/E000298,Republican,Kansas,4,House,2017,inf
"Esty, Elizabeth H.",https://www.congress.gov/member/elizabeth-esty/E000293,Democratic,Connecticut,5,House,2013,2019
"Etheridge, Bob",https://www.congress.gov/member/bob-etheridge/E000226,Democratic,North Carolina,2,House,1997,2011
"Evans, Dwight",https://www.congress.gov/member/dwight-evans/E000296,Democratic,Pennsylvania,3,House,2019,inf
"Evans, Dwight",https://www.congress.gov/member/dwight-evans/E000296,Democratic,Pennsylvania,2,House,2016,2019
"Faleomavaega, Eni F. H.",https://www.congress.gov/member/eni-faleomavaega/F000010,Democratic,American Samoa,At Large,House,1989,2015
"Fallin, Mary",https://www.congress.gov/member/mary-fallin/F000453,Republican,Oklahoma,5,House,2007,2011
"Farenthold, Blake",https://www.congress.gov/member/blake-farenthold/F000460,Republican,Texas,27,House,2011,2018
"Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,Democratic,California,20,House,2013,2017
"Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,Democratic,California,17,House,1993,2013
"Faso, John J.",https://www.congress.gov/member/john-faso/F000464,Republican,New York,19,House,2017,2019
"Fattah, Chaka",https://www.congress.gov/member/chaka-fattah/F000043,Democratic,Pennsylvania,2,House,1995,2016
"Feingold, Russell D.",https://www.congress.gov/member/russell-feingold/F000061,Democratic,Wisconsin,N/A,Senate,1993,2011
"Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,Democratic,California,N/A,Senate,1992,inf
"Ferguson, A. Drew, IV",https://www.congress.gov/member/a-ferguson/F000465,Republican,Georgia,3,House,2017,inf
"Filner, Bob",https://www.congress.gov/member/bob-filner/F000116,Democratic,California,51,House,2003,2013
"Filner, Bob",https://www.congress.gov/member/bob-filner/F000116,Democratic,California,50,House,1993,2003
"Fincher, Stephen Lee",https://www.congress.gov/member/stephen-fincher/F000458,Republican,Tennessee,8,House,2011,2017
"Finkenauer, Abby",https://www.congress.gov/member/abby-finkenauer/F000467,Democratic,Iowa,1,House,2019,inf
"Fischer, Deb",https://www.congress.gov/member/deb-fischer/F000463,Republican,Nebraska,N/A,Senate,2013,inf
"Fitzpatrick, Brian K.",https://www.congress.gov/member/brian-fitzpatrick/F000466,Republican,Pennsylvania,1,House,2019,inf
"Fitzpatrick, Brian K.",https://www.congress.gov/member/brian-fitzpatrick/F000466,Republican,Pennsylvania,8,House,2017,2019
"Fitzpatrick, Michael G.",https://www.congress.gov/member/michael-fitzpatrick/F000451,Republican,Pennsylvania,8,House,2011,2017
"Fitzpatrick, Michael G.",https://www.congress.gov/member/michael-fitzpatrick/F000451,Republican,Pennsylvania,8,House,2005,2007
"Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Republican,Arizona,0,Senate,2013,2019
"Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Republican,Arizona,6,House,2003,2013
"Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Republican,Arizona,1,House,2001,2003
"Fleischmann, Charles J. ""Chuck""",https://www.congress.gov/member/charles-fleischmann/F000459,Republican,Tennessee,3,House,2011,inf
"Fleming, John",https://www.congress.gov/member/john-fleming/F000456,Republican,Louisiana,4,House,2009,2017
"Fletcher, Lizzie",https://www.congress.gov/member/lizzie-fletcher/F000468,Democratic,Texas,7,House,2019,inf
"Flores, Bill",https://www.congress.gov/member/bill-flores/F000461,Republican,Texas,17,House,2011,inf
"Forbes, J. Randy",https://www.congress.gov/member/j-forbes/F000445,Republican,Virginia,4,House,2001,2017
"Fortenberry, Jeff",https://www.congress.gov/member/jeff-fortenberry/F000449,Republican,Nebraska,1,House,2005,inf
"Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Democratic,Illinois,11,House,2013,inf
"Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Democratic,Illinois,14,House,2008,2011
"Foxx, Virginia",https://www.congress.gov/member/virginia-foxx/F000450,Republican,North Carolina,5,House,2005,inf
"Frank, Barney",https://www.congress.gov/member/barney-frank/F000339,Democratic,Massachusetts,4,House,1981,2013
"Frankel, Lois",https://www.congress.gov/member/lois-frankel/F000462,Democratic,Florida,21,House,2017,inf
"Frankel, Lois",https://www.congress.gov/member/lois-frankel/F000462,Democratic,Florida,22,House,2013,2017
"Franken, Al",https://www.congress.gov/member/al-franken/F000457,Democratic,Minnesota,N/A,Senate,2009,2018
"Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Republican,Arizona,8,House,2013,2017
"Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Republican,Arizona,2,House,2003,2013
"Frelinghuysen, Rodney P.",https://www.congress.gov/member/rodney-frelinghuysen/F000372,Republican,New Jersey,11,House,1995,2019
"Fudge, Marcia L.",https://www.congress.gov/member/marcia-fudge/F000455,Democratic,Ohio,11,House,2008,inf
"Fulcher, Russ",https://www.congress.gov/member/russ-fulcher/F000469,Republican,Idaho,1,House,2019,inf
"Gabbard, Tulsi",https://www.congress.gov/member/tulsi-gabbard/G000571,Democratic,Hawaii,2,House,2013,inf
"Gaetz, Matt",https://www.congress.gov/member/matt-gaetz/G000578,Republican,Florida,1,House,2017,inf
"Gallagher, Mike",https://www.congress.gov/member/mike-gallagher/G000579,Republican,Wisconsin,8,House,2017,inf
"Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,Republican,California,24,House,2003,2013
"Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,Republican,California,23,House,1993,2003
"Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,Republican,California,21,House,1987,1993
"Gallego, Pete P.",https://www.congress.gov/member/pete-gallego/G000572,Democratic,Texas,23,House,2013,2015
"Gallego, Ruben",https://www.congress.gov/member/ruben-gallego/G000574,Democratic,Arizona,7,House,2015,inf
"Garamendi, John",https://www.congress.gov/member/john-garamendi/G000559,Democratic,California,3,House,2013,inf
"Garamendi, John",https://www.congress.gov/member/john-garamendi/G000559,Democratic,California,10,House,2009,2013
"Garcia, Jesus G. ""Chuy""",https://www.congress.gov/member/jesus-garcia/G000586,Democratic,Illinois,4,House,2019,inf
"Garcia, Joe",https://www.congress.gov/member/joe-garcia/G000573,Democratic,Florida,26,House,2013,2015
"Garcia, Sylvia R.",https://www.congress.gov/member/sylvia-garcia/G000587,Democratic,Texas,29,House,2019,inf
"Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Republican,Colorado,0,Senate,2015,inf
"Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Republican,Colorado,4,House,2011,2015
"Garrett, Scott",https://www.congress.gov/member/scott-garrett/G000548,Republican,New Jersey,5,House,2003,2017
"Garrett, Thomas A., Jr.",https://www.congress.gov/member/thomas-garrett/G000580,Republican,Virginia,5,House,2017,2019
"Gerlach, Jim",https://www.congress.gov/member/jim-gerlach/G000549,Republican,Pennsylvania,6,House,2003,2015
"Gianforte, Greg",https://www.congress.gov/member/greg-gianforte/G000584,Republican,Montana,At Large,House,2017,inf
"Gibbs, Bob",https://www.congress.gov/member/bob-gibbs/G000563,Republican,Ohio,7,House,2013,inf
"Gibbs, Bob",https://www.congress.gov/member/bob-gibbs/G000563,Republican,Ohio,18,House,2011,2013
"Gibson, Christopher P.",https://www.congress.gov/member/christopher-gibson/G000564,Republican,New York,19,House,2013,2017
"Gibson, Christopher P.",https://www.congress.gov/member/christopher-gibson/G000564,Republican,New York,20,House,2011,2013
"Giffords, Gabrielle",https://www.congress.gov/member/gabrielle-giffords/G000554,Democratic,Arizona,8,House,2007,2012
"Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,Democratic,New York,0,Senate,2009,inf
"Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,Democratic,New York,20,House,2007,2009
"Gingrey, Phil",https://www.congress.gov/member/phil-gingrey/G000550,Republican,Georgia,11,House,2003,2015
"Gohmert, Louie",https://www.congress.gov/member/louie-gohmert/G000552,Republican,Texas,1,House,2005,inf
"Golden, Jared F.",https://www.congress.gov/member/jared-golden/G000592,Democratic,Maine,2,House,2019,inf
"Gomez, Jimmy",https://www.congress.gov/member/jimmy-gomez/G000585,Democratic,California,34,House,2017,inf
"Gonzalez, Anthony",https://www.congress.gov/member/anthony-gonzalez/G000588,Republican,Ohio,16,House,2019,inf
"Gonzalez, Charles A.",https://www.congress.gov/member/charles-gonzalez/G000544,Democratic,Texas,20,House,1999,2013
"Gonzalez, Vicente",https://www.congress.gov/member/vicente-gonzalez/G000581,Democratic,Texas,15,House,2017,inf
"Resident Commissioner Gonzalez-Colon, Jenniffer",https://www.congress.gov/member/jenniffer-gonzalez-colon/G000582,Republican,Puerto Rico,At Large,House,2017,inf
"Gooden, Lance",https://www.congress.gov/member/lance-gooden/G000589,Republican,Texas,5,House,2019,inf
"Goodlatte, Bob",https://www.congress.gov/member/robert-goodlatte/G000289,Republican,Virginia,6,House,1993,2019
"Goodwin, Carte Patrick",https://www.congress.gov/member/carte-goodwin/G000561,Democratic,West Virginia,N/A,Senate,2010,2010
"Gordon, Bart",https://www.congress.gov/member/bart-gordon/G000309,Democratic,Tennessee,6,House,1985,2011
"Gosar, Paul A.",https://www.congress.gov/member/paul-gosar/G000565,Republican,Arizona,4,House,2013,inf
"Gosar, Paul A.",https://www.congress.gov/member/paul-gosar/G000565,Republican,Arizona,1,House,2011,2013
"Gottheimer, Josh",https://www.congress.gov/member/josh-gottheimer/G000583,Democratic,New Jersey,5,House,2017,inf
"Gowdy, Trey",https://www.congress.gov/member/trey-gowdy/G000566,Republican,South Carolina,4,House,2011,2019
"Graham, Gwen",https://www.congress.gov/member/gwen-graham/G000575,Democratic,Florida,2,House,2015,2017
"Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,Republican,South Carolina,0,Senate,2003,inf
"Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,Republican,South Carolina,3,House,1995,2003
"Granger, Kay",https://www.congress.gov/member/kay-granger/G000377,Republican,Texas,12,House,1997,inf
"Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Republican,Iowa,0,Senate,1981,inf
"Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Republican,Iowa,3,House,1975,1981
"Graves, Garret",https://www.congress.gov/member/garret-graves/G000577,Republican,Louisiana,6,House,2015,inf
"Graves, Sam",https://www.congress.gov/member/sam-graves/G000546,Republican,Missouri,6,House,2001,inf
"Graves, Tom",https://www.congress.gov/member/tom-graves/G000560,Republican,Georgia,14,House,2013,inf
"Graves, Tom",https://www.congress.gov/member/tom-graves/G000560,Republican,Georgia,9,House,2010,2013
"Grayson, Alan",https://www.congress.gov/member/alan-grayson/G000556,Democratic,Florida,9,House,2013,2017
"Grayson, Alan",https://www.congress.gov/member/alan-grayson/G000556,Democratic,Florida,8,House,2009,2011
"Green, Al",https://www.congress.gov/member/al-green/G000553,Democratic,Texas,9,House,2005,inf
"Green, Gene",https://www.congress.gov/member/gene-green/G000410,Democratic,Texas,29,House,1993,2019
"Green, Mark E.",https://www.congress.gov/member/mark-green/G000590,Republican,Tennessee,7,House,2019,inf
"Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,Republican,New Hampshire,0,Senate,1993,2011
"Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,Republican,New Hampshire,2,House,1981,1989
"Griffin, Tim",https://www.congress.gov/member/tim-griffin/G000567,Republican,Arkansas,2,House,2011,2015
"Griffith, H. Morgan",https://www.congress.gov/member/h-griffith/G000568,Republican,Virginia,9,House,2011,inf
"Griffith, Parker",https://www.congress.gov/member/parker-griffith/G000557,Republican,Alabama,5,House,2009,2011
"Grijalva, Raul M.",https://www.congress.gov/member/raul-grijalva/G000551,Democratic,Arizona,3,House,2013,inf
"Grijalva, Raul M.",https://www.congress.gov/member/raul-grijalva/G000551,Democratic,Arizona,7,House,2003,2013
"Grimm, Michael G.",https://www.congress.gov/member/michael-grimm/G000569,Republican,New York,11,House,2013,2015
"Grimm, Michael G.",https://www.congress.gov/member/michael-grimm/G000569,Republican,New York,13,House,2011,2013
"Grothman, Glenn",https://www.congress.gov/member/glenn-grothman/G000576,Republican,Wisconsin,6,House,2015,inf
"Guest, Michael",https://www.congress.gov/member/michael-guest/G000591,Republican,Mississippi,3,House,2019,inf
"Guinta, Frank C.",https://www.congress.gov/member/frank-guinta/G000570,Republican,New Hampshire,1,House,2015,2017
"Guinta, Frank C.",https://www.congress.gov/member/frank-guinta/G000570,Republican,New Hampshire,1,House,2011,2013
"Guthrie, Brett",https://www.congress.gov/member/brett-guthrie/G000558,Republican,Kentucky,2,House,2009,inf
"Gutierrez, Luis V.",https://www.congress.gov/member/luis-gutierrez/G000535,Democratic,Illinois,4,House,1993,2019
"Haaland, Debra A.",https://www.congress.gov/member/debra-haaland/H001080,Democratic,New Mexico,1,House,2019,inf
"Hagan, Kay R.",https://www.congress.gov/member/kay-hagan/H001049,Democratic,North Carolina,N/A,Senate,2009,2015
"Hagedorn, Jim",https://www.congress.gov/member/jim-hagedorn/H001088,Republican,Minnesota,1,House,2019,inf
"Hahn, Janice",https://www.congress.gov/member/janice-hahn/H001063,Democratic,California,44,House,2013,2017
"Hahn, Janice",https://www.congress.gov/member/janice-hahn/H001063,Democratic,California,36,House,2011,2013
"Hall, John J.",https://www.congress.gov/member/john-hall/H001039,Democratic,New York,19,House,2007,2011
"Hall, Ralph M.",https://www.congress.gov/member/ralph-hall/H000067,Republican,Texas,4,House,2004,2015
"Halvorson, Deborah L.",https://www.congress.gov/member/deborah-halvorson/H001044,Democratic,Illinois,11,House,2009,2011
